,train_loss,train_acc,test_loss,test_acc
0,0.06923716282582443,0.15253092348575592,0.06897879025418417,0.222009539604187
1,0.06862144082887145,0.14067569375038147,0.06897999005297295,0.22038811445236206
2,0.06812420620255524,0.16810671985149384,0.06898094373810315,0.27892211079597473
3,0.06768098665420985,0.19209697842597961,0.06898180382305878,0.3155073821544647
4,0.0672555810190571,0.22445064783096313,0.0689825136849807,0.23501884937286377
5,0.0668315654544015,0.2356497347354889,0.06898316569413211,0.16274528205394745
6,0.06639044930340936,0.25242263078689575,0.06898388667371104,0.24066774547100067
7,0.06592061441145707,0.21041470766067505,0.0689846604515755,0.23319979012012482
8,0.06540507759969898,0.23137006163597107,0.06898562947103515,0.19934864342212677
9,0.06482864225082831,0.22836102545261383,0.06898671226673518,0.23731914162635803
